Date,TicketID,Team,Channel,AHT_Min,ResolutionDays,SLA_Met,Escalated,CSAT_5
2026-08-02,TKT-0001,Beta,Phone,6,2,1,0,4
2026-08-03,TKT-0002,Gamma,Email,7,3,1,0,5
2026-08-04,TKT-0003,Delta,Chat,8,4,1,0,3
2026-08-05,TKT-0004,Alpha,Phone,9,1,1,0,4
2026-08-06,TKT-0005,Beta,Email,10,2,0,0,5
2026-08-07,TKT-0006,Gamma,Chat,11,3,1,0,3
2026-08-08,TKT-0007,Delta,Phone,12,4,1,0,4
2026-08-09,TKT-0008,Alpha,Email,13,1,1,0,5
2026-08-10,TKT-0009,Beta,Chat,14,2,1,0,3
2026-08-11,TKT-0010,Gamma,Phone,15,3,0,0,4
2026-08-12,TKT-0011,Delta,Email,16,4,1,0,5
2026-08-13,TKT-0012,Alpha,Chat,17,1,1,0,3
2026-08-14,TKT-0013,Beta,Phone,18,2,1,1,4
2026-08-15,TKT-0014,Gamma,Email,5,3,1,0,5
2026-08-16,TKT-0015,Delta,Chat,6,4,0,0,3
2026-08-17,TKT-0016,Alpha,Phone,7,1,1,0,4
2026-08-18,TKT-0017,Beta,Email,8,2,1,0,5
2026-08-19,TKT-0018,Gamma,Chat,9,3,1,0,3
2026-08-20,TKT-0019,Delta,Phone,10,4,1,0,4
2026-08-21,TKT-0020,Alpha,Email,11,1,0,0,5
2026-08-22,TKT-0021,Beta,Chat,12,2,1,0,3
2026-08-23,TKT-0022,Gamma,Phone,13,3,1,0,4
2026-08-24,TKT-0023,Delta,Email,14,4,1,0,5
2026-08-25,TKT-0024,Alpha,Chat,15,1,1,0,3
2026-08-26,TKT-0025,Beta,Phone,16,2,0,0,4
2026-08-27,TKT-0026,Gamma,Email,17,3,1,1,5
2026-08-28,TKT-0027,Delta,Chat,18,4,1,0,3
2026-08-29,TKT-0028,Alpha,Phone,5,1,1,0,4
2026-08-30,TKT-0029,Beta,Email,6,2,1,0,5
2026-08-01,TKT-0030,Gamma,Chat,7,3,0,0,3
2026-08-02,TKT-0031,Delta,Phone,8,4,1,0,4
2026-08-03,TKT-0032,Alpha,Email,9,1,1,0,5
2026-08-04,TKT-0033,Beta,Chat,10,2,1,0,3
2026-08-05,TKT-0034,Gamma,Phone,11,3,1,0,4
2026-08-06,TKT-0035,Delta,Email,12,4,0,0,5
2026-08-07,TKT-0036,Alpha,Chat,13,1,1,0,3
2026-08-08,TKT-0037,Beta,Phone,14,2,1,0,4
2026-08-09,TKT-0038,Gamma,Email,15,3,1,0,5
2026-08-10,TKT-0039,Delta,Chat,16,4,1,1,3
2026-08-11,TKT-0040,Alpha,Phone,17,1,0,0,4
2026-08-12,TKT-0041,Beta,Email,18,2,1,0,5
2026-08-13,TKT-0042,Gamma,Chat,5,3,1,0,3
2026-08-14,TKT-0043,Delta,Phone,6,4,1,0,4
2026-08-15,TKT-0044,Alpha,Email,7,1,1,0,5
2026-08-16,TKT-0045,Beta,Chat,8,2,0,0,3
2026-08-17,TKT-0046,Gamma,Phone,9,3,1,0,4
2026-08-18,TKT-0047,Delta,Email,10,4,1,0,5
2026-08-19,TKT-0048,Alpha,Chat,11,1,1,0,3
2026-08-20,TKT-0049,Beta,Phone,12,2,1,0,4
2026-08-21,TKT-0050,Gamma,Email,13,3,0,0,5
2026-08-22,TKT-0051,Delta,Chat,14,4,1,0,3
2026-08-23,TKT-0052,Alpha,Phone,15,1,1,1,4
2026-08-24,TKT-0053,Beta,Email,16,2,1,0,5
2026-08-25,TKT-0054,Gamma,Chat,17,3,1,0,3
2026-08-26,TKT-0055,Delta,Phone,18,4,0,0,4
2026-08-27,TKT-0056,Alpha,Email,5,1,1,0,5
2026-08-28,TKT-0057,Beta,Chat,6,2,1,0,3
2026-08-29,TKT-0058,Gamma,Phone,7,3,1,0,4
2026-08-30,TKT-0059,Delta,Email,8,4,1,0,5
2026-08-01,TKT-0060,Alpha,Chat,9,1,0,0,3
2026-08-02,TKT-0061,Beta,Phone,10,2,1,0,4
2026-08-03,TKT-0062,Gamma,Email,11,3,1,0,5
2026-08-04,TKT-0063,Delta,Chat,12,4,1,0,3
2026-08-05,TKT-0064,Alpha,Phone,13,1,1,0,4
2026-08-06,TKT-0065,Beta,Email,14,2,0,1,5
2026-08-07,TKT-0066,Gamma,Chat,15,3,1,0,3
2026-08-08,TKT-0067,Delta,Phone,16,4,1,0,4
2026-08-09,TKT-0068,Alpha,Email,17,1,1,0,5
2026-08-10,TKT-0069,Beta,Chat,18,2,1,0,3
2026-08-11,TKT-0070,Gamma,Phone,5,3,0,0,4
2026-08-12,TKT-0071,Delta,Email,6,4,1,0,5
2026-08-13,TKT-0072,Alpha,Chat,7,1,1,0,3
2026-08-14,TKT-0073,Beta,Phone,8,2,1,0,4
2026-08-15,TKT-0074,Gamma,Email,9,3,1,0,5
2026-08-16,TKT-0075,Delta,Chat,10,4,0,0,3
2026-08-17,TKT-0076,Alpha,Phone,11,1,1,0,4
2026-08-18,TKT-0077,Beta,Email,12,2,1,0,5
2026-08-19,TKT-0078,Gamma,Chat,13,3,1,1,3
2026-08-20,TKT-0079,Delta,Phone,14,4,1,0,4
2026-08-21,TKT-0080,Alpha,Email,15,1,0,0,5
2026-08-22,TKT-0081,Beta,Chat,16,2,1,0,3
2026-08-23,TKT-0082,Gamma,Phone,17,3,1,0,4
2026-08-24,TKT-0083,Delta,Email,18,4,1,0,5
2026-08-25,TKT-0084,Alpha,Chat,5,1,1,0,3
2026-08-26,TKT-0085,Beta,Phone,6,2,0,0,4
2026-08-27,TKT-0086,Gamma,Email,7,3,1,0,5
2026-08-28,TKT-0087,Delta,Chat,8,4,1,0,3
2026-08-29,TKT-0088,Alpha,Phone,9,1,1,0,4
2026-08-30,TKT-0089,Beta,Email,10,2,1,0,5
2026-08-01,TKT-0090,Gamma,Chat,11,3,0,0,3
2026-08-02,TKT-0091,Delta,Phone,12,4,1,1,4
2026-08-03,TKT-0092,Alpha,Email,13,1,1,0,5
2026-08-04,TKT-0093,Beta,Chat,14,2,1,0,3
2026-08-05,TKT-0094,Gamma,Phone,15,3,1,0,4
