Month,ItemCode,Item,OpeningQty,PurchasesQty,ConsumptionQty,WastageQty,ClosingQty,UnitCost,WastageRate
2026-01-01,ITM-001,Item 1,113,45,39,1,118,60,0.026
2026-01-01,ITM-002,Item 2,123,50,43,2,128,70,0.047
2026-01-01,ITM-003,Item 3,133,55,47,3,138,80,0.064
2026-01-01,ITM-004,Item 4,143,60,51,4,148,90,0.078
2026-01-01,ITM-005,Item 5,153,65,55,0,163,100,0.0
2026-02-01,ITM-001,Item 1,116,45,39,1,121,60,0.026
2026-02-01,ITM-002,Item 2,126,50,43,2,131,70,0.047
2026-02-01,ITM-003,Item 3,136,55,47,3,141,80,0.064
2026-02-01,ITM-004,Item 4,146,60,51,4,151,90,0.078
2026-02-01,ITM-005,Item 5,156,65,55,0,166,100,0.0
2026-03-01,ITM-001,Item 1,119,45,39,1,124,60,0.026
2026-03-01,ITM-002,Item 2,129,50,43,2,134,70,0.047
2026-03-01,ITM-003,Item 3,139,55,47,3,144,80,0.064
2026-03-01,ITM-004,Item 4,149,60,51,4,154,90,0.078
2026-03-01,ITM-005,Item 5,159,65,55,0,169,100,0.0
