Month,Branch,Revenue,OperatingCost,Contribution,ProductivityIndex,SLA,CSAT_5
2026-01,Kanpur,1050000,725000,325000,0.91,0.925,4.3
2026-02,Unnao,1100000,750000,350000,0.92,0.93,4.4
2026-03,Barabanki,1150000,775000,375000,0.93,0.935,4.5
2026-04,Lucknow,1200000,800000,400000,0.9400000000000001,0.9400000000000001,4.6000000000000005
2026-05,Kanpur,1250000,825000,425000,0.9500000000000001,0.9450000000000001,4.7
2026-06,Unnao,1300000,850000,450000,0.96,0.9500000000000001,4.8
2026-07,Barabanki,1350000,875000,475000,0.97,0.9550000000000001,4.9
2026-08,Lucknow,1400000,900000,500000,0.98,0.9600000000000001,5.0
2026-09,Kanpur,1450000,925000,525000,0.99,0.9650000000000001,5.1000000000000005
2026-10,Unnao,1500000,950000,550000,1.0,0.9700000000000001,5.2
2026-11,Barabanki,1550000,975000,575000,1.01,0.9750000000000001,5.300000000000001
2026-12,Lucknow,1600000,1000000,600000,1.02,0.98,5.4
