Date,Team,Target,Actual,AchievementPct,SLA,AvgTATHours
2026-08-01,Alpha,100,92,0.86,0.88,2.0
2026-08-02,Beta,101,93,0.87,0.89,2.5
2026-08-03,Gamma,102,94,0.88,0.9,3.0
2026-08-04,Delta,103,95,0.89,0.91,3.5
2026-08-05,Alpha,104,96,0.9,0.92,4.0
2026-08-06,Beta,105,97,0.91,0.93,4.5
2026-08-07,Gamma,106,98,0.92,0.94,2.0
2026-08-08,Delta,107,99,0.93,0.95,2.5
2026-08-09,Alpha,108,100,0.94,0.96,3.0
2026-08-10,Beta,109,101,0.95,0.97,3.5
2026-08-11,Gamma,110,102,0.96,0.98,4.0
2026-08-12,Delta,111,103,0.97,0.88,4.5
2026-08-13,Alpha,112,104,0.98,0.89,2.0
2026-08-14,Beta,113,105,0.86,0.9,2.5
2026-08-15,Gamma,114,106,0.87,0.91,3.0
2026-08-16,Delta,115,107,0.88,0.92,3.5
2026-08-17,Alpha,116,108,0.89,0.93,4.0
2026-08-18,Beta,117,109,0.9,0.94,4.5
2026-08-19,Gamma,118,110,0.91,0.95,2.0
2026-08-20,Delta,119,111,0.92,0.96,2.5
2026-08-21,Alpha,120,112,0.93,0.97,3.0
2026-08-22,Beta,121,113,0.94,0.98,3.5
2026-08-23,Gamma,122,114,0.95,0.88,4.0
2026-08-24,Delta,123,115,0.96,0.89,4.5
2026-08-25,Alpha,124,116,0.97,0.9,2.0
2026-08-26,Beta,100,117,0.98,0.91,2.5
2026-08-27,Gamma,101,118,0.86,0.92,3.0
2026-08-28,Delta,102,119,0.87,0.93,3.5
2026-08-29,Alpha,103,120,0.88,0.94,4.0
2026-08-30,Beta,104,121,0.89,0.95,4.5
2026-08-01,Gamma,105,92,0.9,0.96,2.0
2026-08-02,Delta,106,93,0.91,0.97,2.5
2026-08-03,Alpha,107,94,0.92,0.98,3.0
2026-08-04,Beta,108,95,0.93,0.88,3.5
2026-08-05,Gamma,109,96,0.94,0.89,4.0
2026-08-06,Delta,110,97,0.95,0.9,4.5
2026-08-07,Alpha,111,98,0.96,0.91,2.0
2026-08-08,Beta,112,99,0.97,0.92,2.5
2026-08-09,Gamma,113,100,0.98,0.93,3.0
2026-08-10,Delta,114,101,0.86,0.94,3.5
2026-08-11,Alpha,115,102,0.87,0.95,4.0
2026-08-12,Beta,116,103,0.88,0.96,4.5
2026-08-13,Gamma,117,104,0.89,0.97,2.0
2026-08-14,Delta,118,105,0.9,0.98,2.5
2026-08-15,Alpha,119,106,0.91,0.88,3.0
2026-08-16,Beta,120,107,0.92,0.89,3.5
2026-08-17,Gamma,121,108,0.93,0.9,4.0
2026-08-18,Delta,122,109,0.94,0.91,4.5
2026-08-19,Alpha,123,110,0.95,0.92,2.0
2026-08-20,Beta,124,111,0.96,0.93,2.5
2026-08-21,Gamma,100,112,0.97,0.94,3.0
2026-08-22,Delta,101,113,0.98,0.95,3.5
2026-08-23,Alpha,102,114,0.86,0.96,4.0
2026-08-24,Beta,103,115,0.87,0.97,4.5
2026-08-25,Gamma,104,116,0.88,0.98,2.0
2026-08-26,Delta,105,117,0.89,0.88,2.5
2026-08-27,Alpha,106,118,0.9,0.89,3.0
2026-08-28,Beta,107,119,0.91,0.9,3.5
2026-08-29,Gamma,108,120,0.92,0.91,4.0
2026-08-30,Delta,109,121,0.93,0.92,4.5
