EmployeeID,Team,ScheduledDays,PresentDays,AbsentDays,AttendancePct,OvertimeHours,ProductivityIndex
EMP-001,Beta,26,22,1,0.846,1,76
EMP-002,Gamma,26,21,2,0.808,2,77
EMP-003,Delta,26,20,3,0.769,3,78
EMP-004,Alpha,26,23,0,0.885,4,79
EMP-005,Beta,26,22,1,0.846,5,80
EMP-006,Gamma,26,21,2,0.808,6,81
EMP-007,Delta,26,20,3,0.769,7,82
EMP-008,Alpha,26,23,0,0.885,8,83
EMP-009,Beta,26,22,1,0.846,9,84
EMP-010,Gamma,26,21,2,0.808,10,85
EMP-011,Delta,26,20,3,0.769,11,86
EMP-012,Alpha,26,23,0,0.885,0,87
EMP-013,Beta,26,22,1,0.846,1,88
EMP-014,Gamma,26,21,2,0.808,2,89
EMP-015,Delta,26,20,3,0.769,3,90
EMP-016,Alpha,26,23,0,0.885,4,91
EMP-017,Beta,26,22,1,0.846,5,92
EMP-018,Gamma,26,21,2,0.808,6,93
EMP-019,Delta,26,20,3,0.769,7,94
EMP-020,Alpha,26,23,0,0.885,8,95
EMP-021,Beta,26,22,1,0.846,9,96
EMP-022,Gamma,26,21,2,0.808,10,97
EMP-023,Delta,26,20,3,0.769,11,98
EMP-024,Alpha,26,23,0,0.885,0,99
EMP-025,Beta,26,22,1,0.846,1,100
EMP-026,Gamma,26,21,2,0.808,2,101
EMP-027,Delta,26,20,3,0.769,3,102
EMP-028,Alpha,26,23,0,0.885,4,103
EMP-029,Beta,26,22,1,0.846,5,104
EMP-030,Gamma,26,21,2,0.808,6,105
EMP-031,Delta,26,20,3,0.769,7,75
EMP-032,Alpha,26,23,0,0.885,8,76
EMP-033,Beta,26,22,1,0.846,9,77
EMP-034,Gamma,26,21,2,0.808,10,78
EMP-035,Delta,26,20,3,0.769,11,79
EMP-036,Alpha,26,23,0,0.885,0,80
EMP-037,Beta,26,22,1,0.846,1,81
EMP-038,Gamma,26,21,2,0.808,2,82
EMP-039,Delta,26,20,3,0.769,3,83
EMP-040,Alpha,26,23,0,0.885,4,84
